,nombre,cantidad_caracteres_nombre,tiene_foto_perfil,cantidad_seguidores,cantidad_seguidos,promedio_publicaciones,perfil_privado,dia_mas_publica,comenta_publicaciones,clase
213,aarons4m,medio,si,medio,medio,bajo,no,jueves,si,real
214,rikardo_armenta,largo,si,bajo,bajo,bajo,no,jueves,si,real
215,jackie_meshi13,largo,si,medio,medio,bajo,no,sabado,si,real
216,ladulsrodriguez,largo,si,medio,medio,bajo,no,domingo,si,real
217,vchavzb,corto,si,medio,medio,bajo,no,sabado,si,real
218,ihanasol,medio,si,medio,medio,bajo,no,miercoles,si,real
219,ArizaFx,corto,si,medio,medio,bajo,no,viernes,si,real
220,Brenda37170170,largo,si,bajo,bajo,bajo,no,jueves,si,real
221,Camila_Frag,medio,si,medio,medio,bajo,no,viernes,si,real
222,DrCubo,corto,si,medio,alto,bajo,no,jueves,si,real
223,LissValencia7,largo,si,medio,medio,bajo,no,lunes,si,real
224,AylinGzS2,medio,si,bajo,bajo,bajo,no,viernes,si,real
225,Axelrn,corto,si,medio,medio,bajo,no,viernes,si,real
226,rockabyegurl,medio,si,medio,medio,bajo,no,jueves,si,real
227,babyymanyy,medio,si,alto,alto,bajo,no,martes,si,real
228,alfredosastree,largo,si,,alto,bajo,no,jueves,si,real
229,del,corto,si,,medio,bajo,no,lunes,si,real
230,_la_rata_,medio,si,,alto,medio,no,lunes,si,real
231,imfdov,corto,si,,bajo,bajo,no,miercoles,si,real
232,linney_mtzc,medio,si,,bajo,bajo,no,sabado,si,real
233,lauramoliina17,largo,si,,alto,bajo,no,viernes,si,real
234,carpesanoo,medio,si,,medio,medio,no,lunes,si,real
235,bv_malu,corto,si,medio,medio,bajo,no,viernes,si,real
236,eemo_Rarity,medio,si,medio,medio,bajo,no,jueves,si,real
237,melinasalazr,medio,si,medio,medio,bajo,no,jueves,si,real
238,CharbelCalderon,largo,si,medio,medio,medio,no,viernes,si,real
239,rulo102000,medio,si,medio,alto,bajo,no,miercoles,si,real
240,pedrogcarvajal,largo,si,bajo,bajo,bajo,no,martes,si,real
241,ExtintorMr,medio,si,bajo,alto,bajo,no,domingo,si,real
242,elkaiserdelam,largo,si,bajo,medio,bajo,no,miercoles,si,real
243,totijordi79,medio,si,bajo,medio,bajo,no,miercoles,si,real
244,bruakias,medio,si,bajo,bajo,bajo,no,jueves,si,real
245,fondocx,corto,si,medio,medio,bajo,no,miercoles,si,real
246,___sauron,medio,si,medio,medio,bajo,no,domingo,si,real
247,lunes1109,medio,si,bajo,bajo,bajo,no,viernes,si,real
248,Ponidelaprader4,largo,si,medio,medio,bajo,no,viernes,si,real
249,Karen_1Danieela,largo,si,medio,medio,bajo,no,jueves,si,real
250,rdanixla,medio,si,alto,medio,medio,no,domingo,si,real
251,gomiland_,medio,si,medio,medio,bajo,no,martes,si,real
252,CB97says,medio,si,medio,medio,bajo,no,sabado,si,real
253,SML2020,corto,si,medio,medio,bajo,no,lunes,no,FALSO
254,NadiaSantiba_ez,largo,si,medio,medio,bajo,no,domingo,si,real
255,godith20,medio,si,medio,bajo,bajo,no,viernes,si,real
256,ailynmhc,medio,si,medio,medio,bajo,no,martes,si,real
257,barbie_mady,medio,si,medio,medio,bajo,no,viernes,si,real
258,sabimiich,medio,si,bajo,bajo,bajo,no,viernes,si,real
259,Annabanane2402,largo,si,bajo,bajo,bajo,no,miercoles,si,real
260,FridaRamC,medio,si,bajo,bajo,bajo,no,lunes,si,real
261,Diana_rulu11,medio,si,bajo,medio,bajo,no,lunes,si,real
262,monserrat55_,medio,si,bajo,bajo,bajo,no,lunes,si,real
263,CindyconC_,medio,si,medio,medio,bajo,no,viernes,si,real
264,karencleyva6,medio,si,alto,alto,bajo,no,jueves,si,real
265,awomanofwater,largo,si,medio,medio,bajo,no,viernes,si,real
266,jemappellefille,largo,si,medio,medio,bajo,no,domingo,si,real
267,miriamhdz98,medio,si,medio,medio,bajo,no,miercoles,si,real
268,martinsanz01,medio,si,medio,medio,bajo,no,viernes,si,real
269,rico_guerito,medio,si,medio,medio,bajo,no,viernes,si,real
270,renee_bailon,medio,si,medio,medio,bajo,no,sabado,si,real
271,scarletsalazarj,largo,si,medio,medio,bajo,no,viernes,si,real
272,HiRudyVelasco,largo,si,bajo,bajo,bajo,no,sabado,si,real
273,kavqzal,corto,si,medio,medio,bajo,no,domingo,si,real
274,QuevedoA26,medio,si,bajo,bajo,bajo,no,miercoles,si,real
275,isabell_alv3,medio,si,medio,medio,bajo,no,sabado,si,real
276,LinksRossouw,medio,si,medio,medio,bajo,no,viernes,si,real
277,joshuambrady,medio,si,bajo,medio,bajo,no,sabado,si,real
278,samkoovz,medio,si,medio,medio,bajo,no,viernes,si,real
279,Akshay__1509,medio,si,alto,alto,medio,no,miercoles,si,real
280,tehillahmaharaj,largo,si,alto,medio,medio,no,viernes,si,real
281,kornelius12059,largo,si,bajo,medio,bajo,no,miercoles,si,real
282,MandySa03558180,largo,si,bajo,bajo,bajo,no,,si,real
283,pablobonete,medio,si,medio,medio,bajo,no,viernes,si,real
284,Harshit90628293,largo,si,bajo,bajo,bajo,no,jueves,si,real
285,Bstbookpromos,medio,si,alto,alto,bajo,no,jueves,no,FALSO
286,BestsellerSvcs,largo,si,alto,bajo,bajo,no,viernes,no,FALSO
287,Pastor10Denise,largo,si,bajo,medio,bajo,no,sabado,no,FALSO
288,anahibravoab,medio,si,bajo,bajo,bajo,no,viernes,no,FALSO
289,CondeJannet,medio,si,bajo,bajo,bajo,no,sabado,no,FALSO
290,OsccarC__,medio,si,bajo,bajo,bajo,no,domingo,no,FALSO
291,LuzDelgadilloC1,largo,si,bajo,bajo,bajo,no,miercoles,no,FALSO
292,JuniorM77528556,largo,si,medio,alto,bajo,no,sabado,no,FALSO
293,SandyMedna_,medio,si,medio,medio,bajo,no,miercoles,no,FALSO
