Unnamed: 0,caracteres_nombre,foto_perfil,num_amigos,dias_mas_Publicaciones,paginas_que_sigue,Clase
134,medio,Sí,medio,ninguno,algunas,T
135,medio,Sí,alto,media semana,algunas,T
136,medio,Sí,alto,media semana,algunas,T
137,medio,Sí,alto,media semana,algunas,T
138,corto,Sí,alto,fin de semana,algunas,T
139,medio,No,bajo,ninguno,pocas,F
140,medio,Sí,medio,fin de semana,pocas,F
141,medio,No,alto,fin de semana,algunas,F
142,largo,Sí,medio,media semana,pocas,F
143,medio,Sí,alto,inicio de semana,algunas,T
144,corto,Sí,medio,ninguno,pocas,T
145,medio,Sí,medio,ninguno,algunas,T
146,corto,Sí,alto,ninguno,algunas,T
147,medio,Sí,alto,ninguno,pocas,T
148,corto,Sí,medio,media semana,algunas,T
149,medio,Sí,medio,fin de semana,algunas,T
150,medio,Sí,bajo,ninguno,pocas,F
151,corto,Sí,medio,ninguno,muchas,T
152,medio,Sí,bajo,ninguno,algunas,T
153,medio,Sí,medio,inicio de semana,pocas,T
154,medio,No,alto,ninguno,algunas,T
155,medio,Sí,alto,ninguno,algunas,T
156,medio,No,bajo,media semana,pocas,T
157,corto,No,alto,ninguno,muchas,T
158,corto,No,alto,ninguno,pocas,T
159,corto,No,bajo,ninguno,pocas,T
160,corto,No,alto,media semana,algunas,T
161,medio,No,bajo,ninguno,algunas,T
162,medio,Sí,alto,ninguno,pocas,T
163,largo,Sí,medio,fin de semana,algunas,T
164,medio,Sí,medio,ninguno,algunas,T
165,medio,Sí,medio,inicio de semana,pocas,T
166,medio,Sí,medio,ninguno,,T
167,medio,Sí,medio,fin de semana,pocas,T
168,largo,Sí,medio,ninguno,algunas,T
169,corto,Sí,ninguno,,pocas,T
170,corto,Sí,ninguno,,algunas,T
171,largo,Sí,ninguno,,pocas,T
172,corto,Sí,ninguno,,pocas,T
173,largo,Sí,ninguno,,algunas,T
174,medio,Sí,medio,ninguno,algunas,T
175,medio,Sí,medio,ninguno,pocas,T
176,medio,No,medio,ninguno,pocas,F
177,medio,Sí,bajo,ninguno,pocas,T
178,medio,Sí,medio,ninguno,pocas,T
179,corto,Sí,bajo,ninguno,pocas,T
180,largo,Sí,alto,ninguno,pocas,T
181,medio,Sí,bajo,ninguno,pocas,T
182,medio,Sí,alto,ninguno,pocas,T
183,corto,Sí,bajo,ninguno,pocas,T
184,medio,Sí,alto,ninguno,algunas,T
185,medio,Sí,medio,ninguno,algunas,T
186,medio,Sí,alto,ninguno,algunas,T
187,medio,Sí,bajo,ninguno,,T
188,medio,Sí,bajo,ninguno,pocas,T
189,medio,Sí,medio,ninguno,pocas,T
190,medio,Sí,bajo,ninguno,,T
191,medio,Sí,medio,ninguno,pocas,T
192,medio,No,medio,ninguno,pocas,T
193,corto,No,alto,inicio de semana,pocas,T
194,medio,Sí,medio,ninguno,pocas,F
195,medio,Sí,alto,ninguno,pocas,F
196,medio,Sí,medio,ninguno,pocas,F
197,corto,No,bajo,ninguno,pocas,T
198,medio,No,bajo,inicio de semana,pocas,F
199,medio,Sí,bajo,ninguno,pocas,F
200,medio,Sí,bajo,ninguno,pocas,T
201,medio,No,bajo,ninguno,pocas,F
202,corto,Sí,alto,ninguno,pocas,T
203,medio,Sí,medio,ninguno,pocas,F
204,corto,Sí,bajo,media semana,algunas,T
205,medio,No,bajo,ninguno,pocas,F
206,corto,Sí,bajo,ninguno,pocas,F
207,medio,Sí,bajo,ninguno,pocas,F
208,medio,No,alto,ninguno,pocas,F
209,medio,Sí,medio,ninguno,pocas,F
210,corto,No,medio,ninguno,pocas,F
211,corto,No,bajo,ninguno,pocas,F
212,medio,Sí,medio,ninguno,pocas,F
213,medio,No,medio,ninguno,pocas,F
214,medio,Sí,bajo,ninguno,pocas,F
215,medio,Sí,bajo,inicio de semana,pocas,F
216,corto,Sí,medio,ninguno,pocas,F
217,medio,No,ninguno,,pocas,F
218,medio,Sí,medio,ninguno,pocas,F
219,corto,Sí,bajo,ninguno,pocas,F
220,medio,si,bajo,ninguno,pocas,F
221,corto,Sí,bajo,ninguno,pocas,F
222,medio,Sí,bajo,ninguno,pocas,F
223,corto,Sí,bajo,ninguno,pocas,F
224,medio,Sí,bajo,ninguno,pocas,F
225,medio,No,medio,ninguno,pocas,F
226,medio,Sí,medio,ninguno,algunas,T
227,medio,Sí,medio,inicio de semana,pocas,T
228,corto,Sí,bajo,ninguno,pocas,F
229,medio,Sí,bajo,ninguno,pocas,F
230,medio,Sí,bajo,ninguno,pocas,F
231,medio,Sí,medio,ninguno,pocas,F
232,corto,No,bajo,ninguno,pocas,F
233,medio,No,medio,ninguno,algunas,T
234,medio,Sí,bajo,inicio de semana,pocas,T
235,medio,Sí,bajo,ninguno,pocas,F
236,medio,Sí,medio,ninguno,pocas,F
237,medio,Sí,bajo,ninguno,pocas,F
238,medio,Sí,medio,ninguno,pocas,F
239,medio,Sí,medio,ninguno,pocas,F
240,medio,Sí,alto,fin de semana,algunas,T
241,medio,Sí,alto,media semana,algunas,T
242,largo,Sí,bajo,inicio de semana,algunas,T
243,corto,Sí,bajo,ninguno,pocas,T
244,corto,Sí,bajo,media semana,algunas,T
245,medio,Sí,alto,ninguno,pocas,T
246,medio,Sí,medio,inicio de semana,pocas,T
247,medio,Sí,bajo,media semana,pocas,T
248,largo,Sí,bajo,ninguno,algunas,T
249,medio,Sí,medio,fin de semana,algunas,T
250,medio,No,medio,ninguno,pocas,T
251,medio,Sí,medio,fin de semana,pocas,T
252,medio,Sí,bajo,inicio de semana,pocas,T
253,medio,Sí,medio,ninguno,pocas,T
254,corto,Sí,bajo,ninguno,pocas,T
255,largo,Sí,alto,ninguno,pocas,T
256,medio,Sí,bajo,ninguno,pocas,T
257,medio,Sí,medio,ninguno,pocas,F
258,corto,Sí,medio,ninguno,pocas,T
259,medio,Sí,alto,fin de semana,algunas,T
260,medio,Sí,alto,inicio de semana,algunas,T
261,medio,Sí,medio,media semana,ninguno,T
262,medio,Sí,medio,inicio de semana,pocas,T
263,medio,Sí,medio,ninguno,pocas,T
264,medio,Sí,medio,fin de semana,ninguno,T
265,medio,Sí,alto,ninguno,pocas,T
266,largo,Sí,medio,ninguno,algunas,T
267,corto,Sí,medio,ninguno,pocas,T
268,corto,Sí,ninguno,fin de semana,algunas,T
269,largo,Sí,alto,ninguno,pocas,T
270,medio,Sí,ninguno,,pocas,T
271,largo,Sí,ninguno,media semana,algunas,T
272,medio,Sí,alto,ninguno,algunas,T
273,medio,Sí,alto,ninguno,pocas,T
274,medio,Sí,medio,ninguno,pocas,T
275,medio,Sí,bajo,ninguno,pocas,T
276,medio,Sí,medio,fin de semana,pocas,T
277,corto,Sí,bajo,ninguno,pocas,T
278,largo,Sí,alto,ninguno,pocas,T
279,corto,Sí,alto,ninguno,pocas,T
280,medio,Sí,alto,fin de semana,pocas,T
281,corto,Sí,bajo,inicio de semana,pocas,T
282,medio,Sí,alto,ninguno,algunas,T
283,medio,No,medio,ninguno,algunas,T
284,medio,Sí,alto,ninguno,algunas,T
285,medio,Sí,alto,ninguno,pocas,T
286,medio,Sí,medio,ninguno,pocas,T
287,medio,Sí,medio,ninguno,,T
288,medio,Sí,medio,fin de semana,pocas,T
289,medio,Sí,alto,ninguno,pocas,T
290,medio,Sí,bajo,ninguno,pocas,F
291,medio,Sí,bajo,ninguno,algunas,F
292,medio,Sí,medio,ninguno,pocas,F
293,corto,Sí,medio,ninguno,pocas,F
294,largo,Sí,medio,ninguno,pocas,F
295,medio,Sí,bajo,media semana,algunas,T
296,medio,Sí,bajo,ninguno,pocas,F
297,medio,Sí,bajo,ninguno,pocas,F
298,medio,Sí,medio,fin de semana,algunas,T
299,medio,Sí,medio,fin de semana,pocas,T
300,medio,Sí,medio,ninguno,algunas,T
301,corto,Sí,bajo,media semana,algunas,T
302,medio,Sí,bajo,ninguno,pocas,F
303,medio,Sí,bajo,fin de semana,algunas,T
304,corto,Sí,bajo,fin de semana,pocas,F
305,medio,Sí,bajo,inicio de semana,algunas,T
306,corto,No,medio,ninguno,pocas,F
307,medio,Sí,medio,ninguno,algunas,T
308,medio,Sí,alto,ninguno,algunas,T
309,medio,Sí,bajo,ninguno,pocas,T
310,medio,Sí,medio,ninguno,pocas,T
311,largo,No,bajo,ninguno,pocas,T
312,medio,Sí,medio,ninguno,pocas,T
313,medio,Sí,bajo,media semana,pocas,T
314,medio,Sí,medio,ninguno,algunas,T
315,corto,Sí,medio,ninguno,algunas,T
316,medio,Sí,medio,ninguno,pocas,T
317,medio,No,bajo,ninguno,pocas,F
318,corto,No,bajo,ninguno,pocas,F
319,medio,No,bajo,ninguno,pocas,F
320,medio,No,bajo,ninguno,pocas,F
321,medio,No,medio,ninguno,pocas,F
322,largo,No,bajo,ninguno,pocas,F
323,corto,No,bajo,ninguno,pocas,F
324,medio,No,bajo,ninguno,pocas,F
325,medio,No,medio,ninguno,pocas,T
326,corto,No,bajo,media semana,pocas,T
327,corto,Sí,bajo,ninguno,pocas,F
328,corto,Sí,bajo,ninguno,pocas,F
329,medio,Sí,bajo,ninguno,pocas,F
330,corto,Sí,bajo,ninguno,pocas,F
331,corto,Sí,bajo,ninguno,algunas,F
332,medio,Sí,bajo,ninguno,pocas,F
333,corto,Sí,bajo,ninguno,algunas,F
334,medio,Sí,bajo,ninguno,pocas,F
335,corto,Sí,alto,inicio de semana,algunas,T
336,medio,Sí,bajo,ninguno,pocas,F
337,corto,No,bajo,ninguno,algunas,T
338,medio,Sí,bajo,ninguno,algunas,T
339,corto,Sí,alto,media semana,pocas,T
340,medio,Sí,medio,fin de semana,pocas,T
341,medio,Sí,alto,ninguno,algunas,T
342,largo,Sí,medio,ninguno,algunas,T
343,corto,Sí,alto,ninguno,algunas,T
344,medio,Sí,medio,ninguno,algunas,T
345,medio,Sí,medio,inicio de semana,pocas,T
346,medio,Sí,bajo,ninguno,algunas,T
347,medio,Sí,medio,ninguno,pocas,T
348,medio,Sí,medio,ninguno,pocas,T
349,medio,Sí,medio,inicio de semana,algunas,T
350,largo,Sí,alto,ninguno,pocas,T
351,medio,Sí,medio,ninguno,pocas,T
352,medio,Sí,alto,fin de semana,pocas,T
353,corto,Sí,bajo,ninguno,pocas,T
354,medio,Sí,alto,ninguno,pocas,T
355,medio,Sí,bajo,inicio de semana,pocas,T
356,largo,Sí,medio,fin de semana,algunas,T
357,medio,Sí,bajo,ninguno,pocas,F
358,corto,Sí,bajo,ninguno,pocas,F
359,medio,Sí,alto,ninguno,pocas,F
360,largo,Sí,medio,ninguno,pocas,T
